AverageLeftPupilDiameter,RightPupilDiameter
0,0
3.472822,4.03624
2.811901,3.942444
3.960266,-1
3.755255,3.82489
0.7194019,4.677811
4.495703,4.73526
4.576324,4.472229
2.441256,4.564331
2.025172,4.976273
3.571697,4.380966
1.375157,5.209686
1.946912,4.614227
2.538674,4.009384
3.816357,3.839813
