FixationStartTime,FixationDuration
2.812549,0.1007314
4.680833,0.1348987
8.932048,0.9353867
11.1671,0.1022196
11.50272,0.1687002
16.69072,0.2026882
19.04738,0.4359627
23.14348,0.6063461
26.12722,1.001488
35.19484,0.5980339
46.71441,0.7348328
48.96413,0.2653084
53.19786,0.1664391
53.9002,0.1331863
55.44271,0.1042023
59.01772,0.1005478
60.22455,0.1670799
62.06556,1.143993
63.89093,0.7927055
65.25004,0.8031769
66.65335,0.9321747
68.21528,0.1028671
68.98619,1.443016
70.93092,0.1005707
71.16811,0.6088333
73.25565,0.4391861
74.53784,0.134697
76.57894,0.4004288
77.57819,0.1047287
80.62836,1.173355
86.66973,0.1008453
92.32328,0.1008835
103.6143,0.1018677
105.9576,0.1318893
106.6583,0.1011887
107.6331,0.1030731
114.0163,0.1648712
115.3539,0.1324158
116.9306,0.1339188
117.3647,0.1005783
118.2324,0.1349106
134.9184,0.1680603
141.3547,0.1051025
161.614,0.1021271
163.6274,0.2040253
164.7456,0.1017761
168.1812,0.102066
172.9038,0.1320038
176.8416,0.1919861
178.1893,0.2373352
