AverageLeftPupilDiameter,RightPupilDiameter
0,0
4.873415,5.383423
4.145398,5.902527
3.895995,5.443237
-0.1512614,-1
1.925623,-1
2.813963,6.054703
3.757289,4.871201
2.975296,-1
4.16606,5.717651
3.542751,6.250656
1.677284,5.955078
4.206181,-1
0.2300001,5.835693
2.399126,6.309235
4.329825,6.083221
3.696532,6.735504
3.089485,5.640396
3.86432,-1
2.145727,5.771637
3.013325,5.90889
4.993482,5.389175
4.333336,6.159256
3.278099,-1
2.510911,6.125259
3.099706,5.641251
3.846687,-1
3.463062,5.341202
2.212038,6.270416
4.312202,5.411026
3.629958,5.969284
2.733542,5.490738
3.822664,-1
0.734042,5.60498
4.999449,5.611725
4.228719,6.212112
3.333073,-1
