AverageLeftPupilDiameter,RightPupilDiameter
0,0
4.061028,4.175278
3.902059,4.104904
4.426047,4.651886
4.219173,4.138962
4.097952,4.234039
3.854232,3.82988
4.382555,4.491455
4.385161,4.396835
4.246633,4.033173
4.085359,3.807068
3.940194,4.260162
4.527915,4.699432
3.813428,4.138184
3.663962,4.036194
3.87087,4.109634
3.911963,3.686996
3.844347,4.169449
4.321465,4.20401
4.28957,4.341522
4.290553,4.800659
4.210619,4.679703
4.322727,4.212372
4.027809,4.270844
3.959113,4.334106
4.270643,4.60965
4.870124,5.15126
4.820135,5.35936
4.846559,4.506271
4.577378,4.835159
4.610984,5.07341
5.005105,5.165283
4.238513,5.465607
4.747925,5.384018
4.602148,4.719559
3.951912,3.9384
3.917143,-1
