x,y
912.3481,549.1339
1083.837,484.5742
2429.704,109.33
928.0937,556.8763
792.2285,600.3698
527.7066,610.8157
1034.789,575.5362
1053.509,588.1175
2639.325,603.5475
887.1172,565.0005
976.6198,559.6392
922.8594,552.6364
926.0289,548.3162
914.3779,549.4658
740.4453,552.7111
1373.715,614.6743
1260.511,713.7937
1166.651,562.8774
938.6388,542.0898
