AverageLeftPupilDiameter,RightPupilDiameter
0,0
3.998886,4.402191
4.26828,5.11998
3.930249,3.70311
3.162767,3.297699
3.322994,4.263397
4.063428,4.11293
3.835271,4.118011
3.664087,4.277603
3.878925,4.430283
3.471821,3.586029
3.364067,4.111023
3.912589,4.054306
3.563113,3.296753
