AverageLeftPupilDiameter,RightPupilDiameter
0,0
4.336194,4.496872
4.626395,4.956757
5.052706,4.924744
4.672844,4.132614
4.287445,4.251266
4.446326,5.324661
5.300303,5.210312
4.909741,4.24527
4.990948,5.755859
4.895753,5.297684
4.935001,6.00769
5.029374,5.027588
4.446519,4.793228
4.611035,4.588425
