AverageLeftPupilDiameter,RightPupilDiameter
0,0
3.996016,3.991669
4.110973,3.846558
3.99822,4.10173
4.155552,-1
3.934754,4.229645
4.07793,4.809021
4.586913,4.454407
4.193058,3.81958
3.849691,4.280579
4.336417,4.493652
4.003708,4.297729
3.834171,4.436935
4.511505,4.157852
3.596015,3.986206
3.682585,4.37207
