AverageLeftPupilDiameter,RightPupilDiameter
0,0
3.816723,3.407867
3.176032,3.866776
3.483762,3.571457
3.54032,3.831436
3.695436,3.531845
3.253058,4.417923
3.879074,3.845795
3.1678,3.242126
3.337529,3.607941
3.529317,4.113815
3.322026,3.469193
3.669337,3.944931
3.463778,3.6073
2.903819,4.283401
